,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Amount_Log
256,0.36238638876281576,0.9647069285954395,0.6026161964442714,0.9329838721653022,0.3097519883291202,0.6107911935930478,0.5209766946432572,0.8768566552945372,0.6743598274505004,0.7219550915977087,0.6656005709967376,0.15769114358505248,0.8835422205959408,0.4281482422672476,0.8006261569245854,0.6361020916566288,0.8244783969309296,0.782021223798111,0.7159116094982999,0.39015627666323566,0.6306859054535994,0.45455841186432683,0.5151229974554379,0.5584515823186136,0.769879117143858,0.5118191818589238,0.22950526072990568,0.4775779988884267,0.6089251994425244,0.004699252541312498,0.563111812590537
620,0.20578035354769636,0.8317180551849644,0.6526324672163233,0.8023611826012786,0.3106379943278696,0.5930691080967845,0.403360845308978,0.8264648444622339,0.6428573386384383,0.6614582914576738,0.5737404962378893,0.4628082495991841,0.548771305631225,0.3342990612661262,0.4149837272934459,0.7464904077187264,0.5488159899211197,0.5036823872559717,0.4828178168472402,0.42807287365476177,0.6551441203932402,0.492105262440943,0.46482937546688896,0.5505682905545246,0.6895631111500227,0.46495969902488093,0.3854586558423572,0.4529018253108683,0.4333161606320195,0.028505976376730472,0.7099984559909506
377,0.3598086792584575,0.9612415659450586,0.6051971545046979,0.9130493336334098,0.3232598111949118,0.6272239194049705,0.5018163875086995,0.891868056413862,0.6713655186149665,0.6856897693007591,0.6667043221377278,0.21122354633844248,0.9067231204584343,0.4702633650003324,0.8161738049614667,0.5769365887074308,0.7679674986636267,0.8033462355119905,0.6298293645093738,0.3478295817585316,0.6323547942007383,0.45514775170102045,0.5171012387494661,0.5575341921328735,0.846852162830078,0.5287670822865553,0.24345818803070338,0.4751589550648797,0.6071389129993131,0.025693010391039904,0.7015305525847311
327,0.399655529565106,0.8371196018421985,0.5920369846876979,0.9266905680675468,0.27305117497700504,0.6329913880440148,0.46699858597092037,0.8743477648922228,0.6844479408379827,0.686159665177324,0.6530766409260116,0.13879070756886658,0.8916709589820809,0.5363214273202708,0.8122641354696997,0.5887688247680377,0.8309156054664019,0.7932573709303041,0.7205407477740151,0.4501743243323155,0.5992495773648656,0.45559447844078466,0.5644544359727128,0.586359442443142,0.7980817777506084,0.49372676318946457,0.4472646008401774,0.46044078453253884,0.5897836618518575,0.00700889518173736,0.5956742493401206
465,0.8199443726797704,0.7363735271487265,0.5614537455275944,0.7558934653526181,0.3730284391189458,0.6173087282923112,0.5064896312421902,0.8057997965763064,0.7089649258321911,0.5719804684750345,0.5297383025074058,0.4082483878097801,0.6828829224491683,0.45340638480064066,0.6621969495709665,0.6645953222981025,0.5226190312313327,0.5403207035568398,0.4577478188550384,0.4938400410871255,0.6424921697452344,0.48245217098700216,0.5878968790194561,0.5226889837238414,0.17865020047600705,0.4508275700220831,0.3563840657637596,0.5324424145590136,0.4544941293164102,0.0920376128361565,0.8055359987942425
404,0.5440421743532451,0.5851952099643762,0.7331212331835701,0.5165830746007873,0.8067007660258394,0.34815782778189786,0.3612925619004397,0.5995875927230987,0.7452198020291566,0.35721389414765475,0.3264708153650433,0.611305323116159,0.13913350382634926,0.5461019993766979,0.4455338110515044,0.18643855709167023,0.1678385798656572,0.11214427374835734,0.030690943873284304,0.5446642711081379,0.6303967037420375,0.4775925525958279,0.4962105132421976,0.5700183177150376,0.8620588325821724,0.4357892609155065,0.2279438236984837,0.408150171838434,0.547848635675248,0.017842106996194502,0.6718106609976682
771,0.08967286946199769,0.788419951967799,0.6561072032875577,0.8510695738702582,0.3840716361345818,0.6155049283193035,0.46154658947462246,0.8565955301960091,0.6189753707336739,0.768564946545033,0.7000021418267969,0.4340390125838207,0.5695120972062669,0.7112845978967883,0.6728138917681246,0.7617452660423684,0.5377958809710607,0.6235599174942725,0.5383432837736005,0.6331057551880239,0.6210334408456757,0.49521962316934354,0.5039502284070826,0.5451933340024956,0.8570619023420376,0.4398224338937615,0.1795125548247829,0.21856401494284317,0.4499365775548035,0.005357806451005942,0.5737930772509624
332,0.42859802860501106,0.8835524920285053,0.5930143133431746,0.9804719517695308,0.28638952370066634,0.6340529096296642,0.5644183975266615,0.877442142218323,0.6801886151614328,0.7378728272122346,0.6451713789775865,0.13761446475034608,0.9106530729562193,0.46593536469561037,0.7596028861425408,0.26859346716162097,0.7753976873623484,0.8020779749720804,0.6653273740964502,0.3184730311998313,0.6295848701088453,0.4582183566717664,0.5594573389069847,0.5628624410335414,0.786909696872811,0.4623209856979172,0.227061769046683,0.4786153428596698,0.6560586347214491,0.021826358149839832,0.6882374287859572
324,0.27192216830173743,0.8841341568829901,0.6269291557849734,0.9254750576994231,0.24842813386087975,0.6163130142135602,0.5076410750933339,0.8934129531836109,0.6862369241249514,0.6385958901050222,0.6429712739415516,0.1867176366772168,0.8903303926556707,0.4916897190786748,0.8437088192078247,0.7069125426745058,0.8392244997027611,0.7873077229185051,0.682775977392556,0.25692651607611183,0.6217990492754497,0.4594410902747076,0.5279978233570398,0.5634709509443717,0.7674667980363771,0.4396402030086143,0.16721812655641435,0.4623205599444681,0.590013796067843,0.03656855781397734,0.7302997843983122
444,0.3675825390729555,0.9102165734562333,0.6024706808936263,0.9328713653571881,0.313157502327663,0.6332230209666556,0.6084797029132069,0.915709382878768,0.6700740191258854,0.6504482091051896,0.6681252490064531,0.15631697036320644,0.8476186260598301,0.5597470341673054,0.8112998752405481,0.9566396881119832,0.7876722472619945,0.7869530463240263,0.7485405277400216,0.543906349518939,0.6646687655853772,0.4627545925771777,0.5607756107342401,0.5669003105205302,0.4004320949028378,0.4671061065811259,0.3206730960886211,0.46909229329818963,0.5865341024699411,0.13649940965345955,0.8376630664027341
9,0.90132551292346,0.9131085659914014,0.6330152892837131,0.8639655438429898,0.29603161545305606,0.673705718555354,0.4814844908942941,0.9086911922303857,0.6773473516267635,0.6375795085327103,0.6487818147699226,0.14551211003957948,0.8295455589439683,0.25597925412124795,0.7920337689249858,0.5954079729590855,0.7891261773381945,0.8375750360891159,0.7565422044021486,0.4767454808700452,0.6355057248437552,0.45716493309765555,0.5306987040562241,0.553341217359964,0.8180797925571657,0.4769129330184336,0.23136733549713637,0.4939981177342065,0.6451768797113666,0.005837610013782593,0.5807788067364344
